jurisdiction,capability,legal_path,docs,costs,time,approvals,ethics_flags,vc_identity_mapping,risk_level,next_actions
United States (Federal/CA/NY),Education & Training Provider,HEOA Title IV recognition via state authorization + California BPPE approval,Articles of incorporation; curriculum outlines; instructor CVs; financial statements; student disclosure catalog,"USD 5k-20k filing + surety bond",6-12 months,State authorization; BPPE approval; NYSED distance education recognition,"Data minimization for FERPA; accessibility for ADA",W3C VC + NIST IAL2/Authenticator AAL2 schema with StatusList2021,Medium,Prepare BPPE application kit and engage third-party audit for Title IV compliance
United States (Federal/CA/NY),Research Organization / IRB Partner,Federalwide Assurance (FWA) via OHRP + partnership with registered IRB,Research protocols; informed consent templates; data management plan; investigator CVs,"USD 1k-5k for IRB review fees",3-6 months,OHRP FWA approval; IRB authorization agreement,"Human subjects protection; HIPAA alignment when applicable",VC schema referencing NIH credential templates + ISO/IEC 27560 consent receipts,Medium,Draft FWA submission package and negotiate IRB reliance agreement
United States (Federal/CA/NY),Property Record Verifier,State notary commissioning with remote online notarization endorsement,RULONA application; surety bond; background check; technology provider attestation,"USD 200-500 + bond",1-3 months,Secretary of State commission; vendor system approval,"Anti-fraud measures; data retention for 10 years",VC schema aligned with MISMO eNotary + StatusList2021,Medium,Select RON platform and schedule state-administered exam
Canada (Federal/Ontario),Education & Training Provider,Private Career Colleges Act registration with Superintendent approval,Program standard outlines; instructor qualifications; financial guarantees; sexual violence policy,"CAD 2k-4k + security ($10k) ",4-8 months,Superintendent registration; OSAP eligibility review,"Equity commitments; accessibility compliance",W3C VC + Pan-Canadian Trust Framework (PCTF) IAL2,Medium,Develop mandatory student contract template and secure surety instrument
Canada (Federal/Ontario),Research Organization / IRB Partner,Tri-Council Policy Statement (TCPS2) compliance with institutional REB agreement,TCPS2 compliance attestation; ethics training certificates; privacy impact assessment,"CAD 1k-3k (REB fees)",2-4 months,REB approval; Health Canada notification when applicable,"Indigenous data sovereignty; consent refresh intervals",VC referencing TCPS2 ethics reviewer credential + StatusList2021,Medium,Execute data-sharing agreement with REB and implement REB reporting calendar
Canada (Federal/Ontario),Property Record Verifier,Ontario Electronic Registration Act service provider onboarding + electronic signature compliance,Corporate registry extract; insurance certificate; technology controls audit,"CAD 3k-6k",3-6 months,ServiceOntario approval; Law Society liaison,"Data residency within Canada; anti-corruption training",VC schema aligned to OGC LADM + DID-based revocation,Medium,Produce SOC 2 Type I report and integrate provincial e-signature module
European Union (Germany),Education & Training Provider,German Weiterbildungsförderung accreditation + EU service notification,Quality management handbook; trainer certifications; financial stability proof; DSGVO compliance plan,"EUR 4k-7k",6-9 months,Regional authority accreditation; Bundesagentur für Arbeit listing,"Worker council consultation; DSGVO DPIA",W3C VC + eIDAS Level High identity assurance using EBSI profile,High,Commission ISO 29990 audit and translate materials to German
European Union (Germany),Research Organization / IRB Partner,Establish Forschungseinrichtung partnership with accredited Ethikkommission,Ethics protocols; GDPR Article 30 records; data processing agreements,"EUR 2k-5k",3-6 months,Ethikkommission approval; Landesdatenschutzbehörde registration,"Cross-border data transfer assessments",VC referencing EU GDPR-compliant consent receipts + EBSI verifiable ID,High,Retain EU counsel to draft Schrems II-compliant SCCs
European Union (Germany),Property Record Verifier,Partner with Grundbuchamt via certified trust service provider under eIDAS,Qualified electronic seal certificate; security concept; insurance coverage,"EUR 5k-10k",6-12 months,Land registry MoU; Bundesnetzagentur trust list inclusion,"Long-term signature preservation; anti-money-laundering controls",VC schema using CEN 419241 trust lists with StatusList2021,High,Initiate ETSI EN 319 401 conformity assessment with QTSP
Singapore,Education & Training Provider,CPE Enhanced Registration Framework (ERF) with EduTrust certification,ERF application; fee protection scheme; academic board minutes; quality assurance policies,"SGD 10k-25k",6-12 months,CPE ERF approval; EduTrust award,"Student fee escrow; PDPA DPO appointment",W3C VC + SingPass OIDC integration with revocation list,High,Engage EduTrust consultant and implement fee protection insurance
Singapore,Research Organization / IRB Partner,SingHealth or NHG IRB collaboration with HSA notification for clinical research,Clinical trial protocol; investigator brochure; data security plan,"SGD 3k-8k",4-8 months,IRB approval; HSA notification; DPO endorsement,"Biomedical ethics compliance; personal data export controls",VC referencing ASEAN DPIA template + W3C status list,High,Prepare HSA notification dossier and appoint PDPA data intermediary
Singapore,Property Record Verifier,SLA electronic submission intermediary accreditation with Digital Certification service,Company profile; cybersecurity audit; key personnel vetting,"SGD 2k-6k",2-4 months,Singapore Land Authority approval; GovTech PKI onboarding,"Security incident notification within 2 hours",VC schema aligned with IMDA Digital Trust standards,Medium,Complete IM8 security assessment and stage PKI key ceremonies
Kenya,Education & Training Provider,TVET Authority accreditation for competence-based education,Institutional profile; trainer registration; facilities inspection report,"KES 150k-400k",4-8 months,TVETA license; Ministry of Education quality assurance,"Community engagement; gender equity reporting",W3C VC + Kenya eCitizen ID integration with revocation registry,Medium,Schedule site inspection and prepare trainer competency dossiers
Kenya,Research Organization / IRB Partner,National Commission for Science, Technology and Innovation (NACOSTI) research permit with accredited IRB,Research license application; ethics committee approval; stakeholder consent plan,"KES 50k-150k",2-3 months,NACOSTI license; IRB approval; County commissioner notice,"Community consent; data localization",VC referencing African Open Science Platform schemas + status list,Medium,Assemble IRB approval letter and county engagement log
Kenya,Property Record Verifier,Chief Land Registrar partnership under Land Registration Act with eCitizen digital signature,Company registration; professional indemnity insurance; system security documentation,"KES 80k-200k",3-6 months,Ministry of Lands MOU; eCitizen digital signature enablement,"Anti-corruption compliance; archival retention 7 years",VC schema linked to Land Information Management System credentials,Medium,Conduct penetration test and draft service-level agreement
